"";"Agriculteurs";"Artisan";"Commerçant";"Chefs d’entreprise (>=10 salariés)";"Professions libérales";"Cadres fonction publique";"Professions scientifiques";"Professions info/arts/spectacles";"Cadres d’entreprise";"Ingénieurs/cadres techniques d’entreprise";"Professeurs des écoles";"Prof intermédiaires santé";"Professions intermédiaires fonction publique";"Prof intermédiaires entreprises";"Techniciens";"Contremaîtres";"Employés fonction publique";"Policiers et militaires";"Employés d’entreprise";"Employés de commerce";"Personnels aux particuliers";"Ouvriers qualif";"Chauffeurs";"Ouvriers non qualif";"Ouvriers agricoles";"Aucun diplôme";"CEP";"Brevet collège";"CAP,BEP";"Bac techno/pro";"Bac général";"Bac+1/+2";"Bac>=+3"
"Pop majoritaire";236;478;424;112;386;426;316;221;853;1053;820;1113;331;1470;899;571;1608;373;907;853;1250;2117;547;1184;189;1357;121;920;4573;2357;1486;3133;4685
"G1 Outre-Mer";0;2;3;0;3;8;5;2;11;16;9;17;8;11;16;5;37;8;17;12;24;22;10;18;2;27;1;11;60;40;23;43;61
"G2 Outre-Mer";1;4;1;0;3;4;1;3;22;10;12;23;7;33;16;5;31;7;17;20;27;20;5;14;6;18;3;17;60;48;30;56;58
"G1 Algérie";0;14;8;1;2;5;11;3;11;24;13;11;4;20;18;3;33;14;21;19;46;60;21;52;3;110;2;25;81;15;27;36;120
"G2 Algérie";0;11;14;3;5;8;8;2;21;20;19;35;7;42;22;15;57;13;35;44;41;40;26;47;1;80;1;36;129;75;43;61;110
"G1 Maroc/Tunisie";0;18;14;2;5;6;6;4;16;45;8;8;1;39;15;16;29;10;19;22;70;90;27;74;13;166;5;33;84;24;48;61;133
"G2 Maroc ou de Tunisie";2;9;11;2;5;6;6;3;25;26;22;22;8;45;22;11;41;11;41;43;35;46;19;30;1;44;2;23;82;104;50;74;111
"G1 Afrique sahélienne";0;2;3;1;1;0;2;2;7;11;3;4;1;10;5;2;17;6;5;9;23;24;3;33;2;57;4;14;18;9;15;12;48
"G2 Afrique sahélienne";0;1;1;0;0;1;0;0;4;3;4;9;2;9;4;1;12;2;5;6;7;8;5;12;0;13;0;4;15;24;4;13;21
"G1 Afrique guinéenne ou centrale";0;3;2;1;3;2;2;1;9;7;5;8;3;14;8;4;44;18;13;16;47;22;3;39;2;51;4;19;33;29;35;38;62
"G2 Afrique guinéenne ou centrale";0;1;1;1;1;0;1;1;3;3;3;4;0;7;3;1;7;2;9;10;4;3;1;3;0;4;0;2;6;17;8;9;24
"G1 autres pays d'Afrique";0;1;6;0;0;1;0;0;11;11;1;5;2;14;2;5;11;3;8;3;22;29;5;17;3;37;7;10;12;17;16;13;47
"G2 autres pays d'Afrique";0;2;2;0;2;2;1;1;5;3;3;4;0;8;3;0;3;1;6;8;6;3;2;3;0;2;0;3;8;15;7;10;23
"G1 Asie du Sud-est";0;2;4;0;1;1;2;1;4;8;1;1;1;5;4;2;3;0;4;3;6;10;1;5;1;16;0;4;9;4;6;9;21
"G2 Asie du Sud-est";0;1;2;0;2;2;3;1;8;18;2;5;2;13;6;2;4;0;6;8;5;4;1;3;1;3;0;3;10;13;9;14;46
"G1 Turquie ou du Moyen-Orient";0;11;9;3;2;2;7;1;8;9;3;7;0;7;8;7;7;0;7;7;17;37;3;33;8;68;6;16;20;10;20;15;45
"G2 Turquie ou du Moyen-Orient";0;5;3;1;2;1;2;1;3;5;3;5;1;9;6;2;5;1;9;10;7;12;2;12;1;12;0;9;18;16;7;14;32
"G1 Chine";0;1;5;0;1;0;3;1;7;6;2;1;0;7;1;0;0;0;2;8;13;7;1;2;0;13;1;6;1;3;4;3;35
"G1 autres pays d'Asie";1;5;2;1;1;0;0;4;1;6;6;6;4;6;11;4;4;2;8;9;20;26;4;23;3;35;0;9;16;5;23;11;52
"G2 autres pays d'Asie";0;2;1;0;0;0;1;0;2;3;1;0;0;4;1;0;1;0;6;7;2;1;1;2;0;4;0;1;2;3;3;8;13
"G1 Portugal";1;13;6;1;0;0;2;0;4;8;1;4;0;11;7;9;15;1;9;8;39;67;6;40;6;100;7;21;61;20;21;13;12
"G2 Portugal";2;13;7;3;3;7;5;5;23;16;11;26;2;47;24;15;29;5;29;27;25;53;6;37;0;40;1;12;104;72;28;70;94
"G1 Espagne ou d'Italie";0;5;4;1;2;4;5;4;18;10;7;7;2;10;4;3;6;0;3;7;6;7;2;5;1;12;0;9;15;7;10;12;55
"G2 Espagne ou d'Italie";2;28;10;2;8;5;12;11;37;27;15;20;6;51;22;20;53;16;27;25;35;60;17;27;4;55;0;21;176;62;48;70;106
"G1 autres pays de l'UE27";1;7;11;2;13;4;13;5;13;21;14;13;4;26;12;9;11;1;11;13;23;22;5;21;2;25;0;11;29;21;27;30;128
"G2 autres pays de l'UE27";1;5;5;1;4;3;5;4;16;9;12;15;3;20;6;8;15;5;12;11;13;18;5;14;1;21;0;9;45;27;16;38;54
"G1 autres pays d'Europe";3;11;8;1;3;5;4;5;16;8;8;8;0;24;12;5;6;4;23;21;15;29;3;27;3;24;0;10;33;22;35;24;95
"G2 autres pays d'Europe";0;1;2;0;3;0;0;1;5;6;4;5;1;6;5;1;3;0;4;4;4;5;2;1;0;4;0;3;9;6;7;10;26
"G1 autres pays";0;4;2;0;5;1;3;7;14;18;7;2;1;15;1;1;5;3;7;17;25;8;1;5;1;17;0;3;10;8;27;9;76
"G2 autres pays";0;1;0;0;1;1;2;1;1;1;4;3;0;3;1;0;2;1;2;4;3;0;1;1;0;1;0;1;2;4;5;4;15
